Subject,Structure,Label,NumVoxels,Volume_mm3
sub-01,L_Thal,10,48,48.000000
sub-01,L_Caud,11,31,31.000000
sub-01,L_Puta,12,0,0.000000
sub-01,L_Pall,13,0,0.000000
sub-01,BrStem,16,340,340.000000
sub-01,L_Hipp,17,17,17.000000
sub-01,L_Amyg,18,7,7.000000
sub-01,R_Thal,49,60,60.000000
sub-01,R_Caud,50,17,17.000000
sub-01,R_Puta,51,0,0.000000
sub-01,R_Pall,52,0,0.000000
sub-01,R_Hipp,53,27,27.000000
sub-01,R_Amyg,54,4,4.000000
sub-02,L_Thal,10,2774,2774.000000
sub-02,L_Caud,11,850,850.000000
sub-02,L_Puta,12,1021,1021.000000
sub-02,L_Pall,13,335,335.000000
sub-02,BrStem,16,5158,5158.000000
sub-02,L_Hipp,17,908,908.000000
sub-02,L_Amyg,18,357,357.000000
sub-02,R_Thal,49,2710,2710.000000
sub-02,R_Caud,50,573,573.000000
sub-02,R_Puta,51,261,261.000000
sub-02,R_Pall,52,320,320.000000
sub-02,R_Hipp,53,886,886.000000
sub-02,R_Amyg,54,445,445.000000
sub-03,L_Thal,10,8506,8506.000000
sub-03,L_Caud,11,3017,3017.000000
sub-03,L_Puta,12,4380,4380.000000
sub-03,L_Pall,13,1223,1223.000000
sub-03,BrStem,16,25468,25468.000000
sub-03,L_Hipp,17,3061,3061.000000
sub-03,L_Amyg,18,728,728.000000
sub-03,R_Thal,49,8109,8109.000000
sub-03,R_Caud,50,3336,3336.000000
sub-03,R_Puta,51,4751,4751.000000
sub-03,R_Pall,52,1284,1284.000000
sub-03,R_Hipp,53,3649,3649.000000
sub-03,R_Amyg,54,846,846.000000
sub-04,L_Thal,10,6898,6898.000000
sub-04,L_Caud,11,663,663.000000
sub-04,L_Puta,12,520,520.000000
sub-04,L_Pall,13,1011,1011.000000
sub-04,BrStem,16,18564,18564.000000
sub-04,L_Hipp,17,2734,2734.000000
sub-04,L_Amyg,18,717,717.000000
sub-04,R_Thal,49,9529,9529.000000
sub-04,R_Caud,50,1152,1152.000000
sub-04,R_Puta,51,3564,3564.000000
sub-04,R_Pall,52,695,695.000000
sub-04,R_Hipp,53,5308,5308.000000
sub-04,R_Amyg,54,1477,1477.000000
sub-05,L_Thal,10,1996,1996.000000
sub-05,L_Caud,11,522,522.000000
sub-05,L_Puta,12,229,229.000000
sub-05,L_Pall,13,254,254.000000
sub-05,BrStem,16,5500,5500.000000
sub-05,L_Hipp,17,858,858.000000
sub-05,L_Amyg,18,450,450.000000
sub-05,R_Thal,49,2034,2034.000000
sub-05,R_Caud,50,1057,1057.000000
sub-05,R_Puta,51,296,296.000000
sub-05,R_Pall,52,242,242.000000
sub-05,R_Hipp,53,816,816.000000
sub-05,R_Amyg,54,367,367.000000
sub-06,L_Thal,10,2612,2612.000000
sub-06,L_Caud,11,653,653.000000
sub-06,L_Puta,12,275,275.000000
sub-06,L_Pall,13,330,330.000000
sub-06,BrStem,16,5753,5753.000000
sub-06,L_Hipp,17,850,850.000000
sub-06,L_Amyg,18,380,380.000000
sub-06,R_Thal,49,2586,2586.000000
sub-06,R_Caud,50,751,751.000000
sub-06,R_Puta,51,308,308.000000
sub-06,R_Pall,52,341,341.000000
sub-06,R_Hipp,53,792,792.000000
sub-06,R_Amyg,54,448,448.000000
sub-07,L_Thal,10,7912,7912.000000
sub-07,L_Caud,11,3528,3528.000000
sub-07,L_Puta,12,3886,3886.000000
sub-07,L_Pall,13,1236,1236.000000
sub-07,BrStem,16,25058,25058.000000
sub-07,L_Hipp,17,3279,3279.000000
sub-07,L_Amyg,18,883,883.000000
sub-07,R_Thal,49,7563,7563.000000
sub-07,R_Caud,50,4237,4237.000000
sub-07,R_Puta,51,4199,4199.000000
sub-07,R_Pall,52,1245,1245.000000
sub-07,R_Hipp,53,3418,3418.000000
sub-07,R_Amyg,54,1217,1217.000000
sub-08,L_Thal,10,1427,1427.000000
sub-08,L_Caud,11,107,107.000000
sub-08,L_Puta,12,234,234.000000
sub-08,L_Pall,13,87,87.000000
sub-08,BrStem,16,1736,1736.000000
sub-08,L_Hipp,17,400,400.000000
sub-08,L_Amyg,18,229,229.000000
sub-08,R_Thal,49,510,510.000000
sub-08,R_Caud,50,205,205.000000
sub-08,R_Puta,51,11,11.000000
sub-08,R_Pall,52,31,31.000000
sub-08,R_Hipp,53,188,188.000000
sub-08,R_Amyg,54,61,61.000000
sub-09,L_Thal,10,2648,2648.000000
sub-09,L_Caud,11,825,825.000000
sub-09,L_Puta,12,281,281.000000
sub-09,L_Pall,13,325,325.000000
sub-09,BrStem,16,5521,5521.000000
sub-09,L_Hipp,17,888,888.000000
sub-09,L_Amyg,18,386,386.000000
sub-09,R_Thal,49,2774,2774.000000
sub-09,R_Caud,50,964,964.000000
sub-09,R_Puta,51,1134,1134.000000
sub-09,R_Pall,52,350,350.000000
sub-09,R_Hipp,53,763,763.000000
sub-09,R_Amyg,54,293,293.000000
sub-10,L_Thal,10,82,82.000000
sub-10,L_Caud,11,44,44.000000
sub-10,L_Puta,12,48,48.000000
sub-10,L_Pall,13,5,5.000000
sub-10,BrStem,16,470,470.000000
sub-10,L_Hipp,17,27,27.000000
sub-10,L_Amyg,18,11,11.000000
sub-10,R_Thal,49,119,119.000000
sub-10,R_Caud,50,18,18.000000
sub-10,R_Puta,51,0,0.000000
sub-10,R_Pall,52,2,2.000000
sub-10,R_Hipp,53,21,21.000000
sub-10,R_Amyg,54,12,12.000000
sub-11,L_Thal,10,3369,3369.000000
sub-11,L_Caud,11,1333,1333.000000
sub-11,L_Puta,12,410,410.000000
sub-11,L_Pall,13,552,552.000000
sub-11,BrStem,16,25116,25116.000000
sub-11,L_Hipp,17,717,717.000000
sub-11,L_Amyg,18,293,293.000000
sub-11,R_Thal,49,3472,3472.000000
sub-11,R_Caud,50,1183,1183.000000
sub-11,R_Puta,51,536,536.000000
sub-11,R_Pall,52,515,515.000000
sub-11,R_Hipp,53,783,783.000000
sub-11,R_Amyg,54,723,723.000000
sub-12,L_Thal,10,785,785.000000
sub-12,L_Caud,11,93,93.000000
sub-12,L_Puta,12,6,6.000000
sub-12,L_Pall,13,0,0.000000
sub-12,BrStem,16,2600,2600.000000
sub-12,L_Hipp,17,326,326.000000
sub-12,L_Amyg,18,124,124.000000
sub-12,R_Thal,49,436,436.000000
sub-12,R_Caud,50,2,2.000000
