Subject,Structure,Label,NumVoxels,Volume_mm3
sub-01,L_Thal,10,571,518.723389
sub-01,L_Caud,11,123,111.739014
sub-01,L_Puta,12,118,107.196777
sub-01,L_Pall,13,28,25.436523
sub-01,BrStem,16,923,838.496826
sub-01,L_Hipp,17,332,301.604492
sub-01,L_Amyg,18,0,0.000000
sub-01,R_Thal,49,429,389.723877
sub-01,R_Caud,50,58,52.689941
sub-01,R_Puta,51,6,5.450684
sub-01,R_Pall,52,20,18.168945
sub-01,R_Hipp,53,87,79.034912
sub-01,R_Amyg,54,17,15.443604
sub-02,L_Thal,10,36,32.704102
sub-02,L_Caud,11,9,8.176025
sub-02,L_Puta,12,0,0.000000
sub-02,L_Pall,13,0,0.000000
sub-02,BrStem,16,108,98.112305
sub-02,L_Hipp,17,0,0.000000
sub-02,L_Amyg,18,3,2.725342
sub-02,R_Thal,49,40,36.337891
sub-02,R_Caud,50,24,21.802734
sub-02,R_Puta,51,0,0.000000
sub-02,R_Pall,52,0,0.000000
sub-02,R_Hipp,53,0,0.000000
sub-02,R_Amyg,54,6,5.450684
sub-03,L_Thal,10,12,10.901367
sub-03,L_Caud,11,4,3.633789
sub-03,L_Puta,12,0,0.000000
sub-03,L_Pall,13,0,0.000000
sub-03,BrStem,16,12,10.901367
sub-03,L_Hipp,17,0,0.000000
sub-03,L_Amyg,18,0,0.000000
sub-03,R_Thal,49,21,19.077393
sub-03,R_Caud,50,10,9.084473
sub-03,R_Puta,51,0,0.000000
sub-03,R_Pall,52,0,0.000000
sub-03,R_Hipp,53,0,0.000000
sub-03,R_Amyg,54,0,0.000000
sub-04,L_Thal,10,73,66.316650
sub-04,L_Caud,11,26,23.619629
sub-04,L_Puta,12,3,2.725342
sub-04,L_Pall,13,0,0.000000
sub-04,BrStem,16,81,73.584229
sub-04,L_Hipp,17,0,0.000000
sub-04,L_Amyg,18,0,0.000000
sub-04,R_Thal,49,90,81.760254
sub-04,R_Caud,50,32,29.070312
sub-04,R_Puta,51,16,14.535156
sub-04,R_Pall,52,0,0.000000
sub-04,R_Hipp,53,33,29.978760
sub-04,R_Amyg,54,3,2.725342
sub-05,L_Thal,10,191,173.513428
sub-05,L_Caud,11,36,32.704102
sub-05,L_Puta,12,75,68.133545
sub-05,L_Pall,13,18,16.352051
sub-05,BrStem,16,154,139.900879
sub-05,L_Hipp,17,75,68.133545
sub-05,L_Amyg,18,41,37.246338
sub-05,R_Thal,49,170,154.436035
sub-05,R_Caud,50,53,48.147705
sub-05,R_Puta,51,5,4.542236
sub-05,R_Pall,52,15,13.626709
sub-05,R_Hipp,53,47,42.697021
sub-05,R_Amyg,54,17,15.443604
sub-06,L_Thal,10,159,144.443115
sub-06,L_Caud,11,176,159.886719
sub-06,L_Puta,12,150,136.267090
sub-06,L_Pall,13,33,29.978760
sub-06,BrStem,16,1362,1237.305176
sub-06,L_Hipp,17,71,64.499756
sub-06,L_Amyg,18,40,36.337891
sub-06,R_Thal,49,338,307.055176
sub-06,R_Caud,50,7,6.359131
sub-06,R_Puta,51,5,4.542236
sub-06,R_Pall,52,9,8.176025
sub-06,R_Hipp,53,59,53.598389
sub-06,R_Amyg,54,2,1.816895
sub-07,L_Thal,10,845,767.637939
sub-07,L_Caud,11,72,65.408203
sub-07,L_Puta,12,1,0.908447
sub-07,L_Pall,13,13,11.809814
sub-07,BrStem,16,3234,2937.918457
sub-07,L_Hipp,17,242,219.844238
sub-07,L_Amyg,18,24,21.802734
sub-07,R_Thal,49,684,621.377930
sub-07,R_Caud,50,270,245.280762
sub-07,R_Puta,51,105,95.386963
sub-07,R_Pall,52,49,44.513916
sub-07,R_Hipp,53,475,431.512451
sub-07,R_Amyg,54,93,84.485596
sub-08,L_Thal,10,5349,4859.284180
sub-08,L_Caud,11,2661,2417.378174
sub-08,L_Puta,12,2941,2671.743408
sub-08,L_Pall,13,829,753.102783
sub-08,BrStem,16,17191,15617.117188
